D	OL6480749A	OL3004382A
D. H. Scott	OL5865762A	OL131642A
D. H. Simpson	OL981076A	OL4444510A
D. H. Smith	OL4731588A	OL2896269A
D. H. Soriano	OL705614A	OL2270904A
D. H. Stamatis	OL6480625A	OL227096A
D. H. Stott	OL5290482A	OL1217305A
D. H. Taylor	OL6050752A	OL3421257A
D. H. Taylor	OL6131702A	OL6050752A
D. H. Trevena	OL962799A	OL5788419A
D. H. Trowsdale	OL5792825A	OL4852700A
D. H. Wallace	OL5927317A	OL218302A
D. Halliwell	OL5290835A	OL5290833A
D. Halliwell	OL5290837A	OL5290835A
D. Hancock	OL6265261A	OL4358503A
D. Hart	OL5530133A	OL488655A
D. Hámori	OL6275023A	OL1457633A
D. Heidrich	OL767484A	OL7558116A
D. Hekmat	OL5324270A	OL5324267A
D. Henrion	OL5701632A	OL4121512A
D. Henry Miller	OL7280624A	OL359098A
D. Herbert Heywood	OL5991223A	OL1256601A
D. Hewett	OL4918536A	OL2975572A
D. Heyward Brock	OL6225805A	OL1549604A
D. Higbee	OL5314742A	OL5314621A
D. Hoeschen	OL4748907A	OL4748904A
D. Hoffmann	OL5638365A	OL2764361A
D. Holmes	OL6564201A	OL2333274A
D. Homer Buck	OL6685641A	OL1997902A
D. Homer Kendall	OL1364831A	OL1174141A
D. Howard Smith	OL4723260A	OL2030934A
D. Hughes	OL5439240A	OL1555466A
D. Humphrey	OL5348981A	OL5348979A
D. Hunt	OL4399295A	OL2985518A
D. Huston	OL6686700A	OL2825258A
D. Huw Owen	OL5889034A	OL5685820A
D. Huxley	OL6079303A	OL1444252A
D. I. Abramovich	OL5205775A	OL2134678A
D. I. Blokhint͡sev	OL634026A	OL4945800A
D. I. Bronshteĭn	OL6283144A	OL6170659A
D. I. Budaev	OL5218632A	OL5218630A
D. I. Budaev	OL5218641A	OL5218632A
D. I. Chesnokov	OL5237052A	OL1725429A
D. I. Davies	OL4380319A	OL1858433A
D. I. Henderson	OL4374562A	OL4374543A
D. I. I͡Avornyt͡sʹkyĭ	OL730935A	OL6647613A
D. I. Ri͡abchikov	OL5341548A	OL1967071A
D. I. Scargill	OL6291230A	OL4345379A
D. I. Trotman-Dickenson	OL6499578A	OL1857552A
D. I͡U Panov	OL6743755A	OL1992211A
D. J Downing	OL4731185A	OL4731184A
D. J Lake	OL4637827A	OL4637825A
D. J Lake	OL4637828A	OL4637827A
D. J Lake	OL4637831A	OL4637828A
D. J Lake	OL4637832A	OL4637831A
D. J Lake	OL4637833A	OL4637832A
D. J Lake	OL4638003A	OL4637833A
D. J Lake	OL4638004A	OL4638003A
D. J Lake	OL4638006A	OL4638004A
D. J Lake	OL4638007A	OL4638006A
D. J Lake	OL4638009A	OL4638007A
D. J Lake	OL4638012A	OL4638009A
D. J Lake	OL4638013A	OL4638012A
D. J Lake	OL4638014A	OL4638013A
D. J Lake	OL4638015A	OL4638014A
D. J Lake	OL4638018A	OL4638015A
D. J Lake	OL4638023A	OL4638018A
D. J Lake	OL4638024A	OL4638023A
D. J Lake	OL4638030A	OL4638024A
D. J Lake	OL4638039A	OL4638030A
D. J Lake	OL4638045A	OL4638039A
D. J Lake	OL4638046A	OL4638045A
D. J Lake	OL4638048A	OL4638046A
D. J Lake	OL4638049A	OL4638048A
D. J Parliman	OL4304319A	OL4304076A
D. J Prediger	OL5348857A	OL4587876A
D. J Santini	OL4725109A	OL4725105A
D. J Santini	OL4725163A	OL4725109A
D. J Sigmar	OL4731278A	OL4731276A
D. J. Amit	OL5666827A	OL1005369A
D. J. Bell	OL6217731A	OL2667958A
D. J. Bowen	OL6164901A	OL1328850A
D. J. Bradley	OL6115079A	OL541670A
D. J. Browne	OL6433810A	OL2391842A
D. J. Butler	OL7538258A	OL7482006A
D. J. Carter	OL4384805A	OL1715710A
D. J. Conacher	OL6249002A	OL365651A
D. J. Connell	OL7305006A	OL7299689A
D. J. Connor	OL7006129A	OL7006128A
D. J. Conway	OL7428879A	OL23522A
D. J. Cook	OL4281366A	OL229866A
D. J. Cooke	OL5467716A	OL1346166A
D. J. Crowley	OL5296997A	OL1454718A
D. J. Cunningham	OL4404990A	OL1191347A
D. J. Cunningham	OL4405027A	OL4404990A
D. J. Cusine	OL5239124A	OL3388886A
D. J. Daly	OL6303467A	OL1080714A
D. J. Dewhurst	OL5803126A	OL2003995A
D. J. Dooley	OL5709435A	OL1783284A
D. J. Duffin	OL5038453A	OL2705875A
D. J. Edwards	OL5361875A	OL1638670A
D. J. Galligan	OL6319596A	OL1191748A
D. J. H. Brock	OL830469A	OL4442436A
D. J. Hall	OL4736884A	OL3578093A
D. J. Hand	OL7519996A	OL422637A
D. J. Hart	OL5403794A	OL2857551A
D. J. Herda	OL5840263A	OL449341A
D. J. Hoek	OL5234671A	OL2831638A
D. J. Jones	OL5840173A	OL1638240A
D. J. Kirkbride	OL7340747A	OL7315941A
D. J. Martin	OL911708A	OL4364505A
D. J. McLeay	OL6394161A	OL4286940A
D. J. Moore	OL3359406A	OL1640414A
D. J. Moracz	OL4746126A	OL4745715A
D. J. Muller	OL6176455A	OL2275790A
D. J. Murphy	OL924895A	OL5042523A
D. J. O'Connor	OL7326990A	OL2941218A
D. J. O'Donoghue	OL4380353A	OL1802485A
D. J. O'Sullivan	OL5036160A	OL4820629A
D. J. Oldham	OL4462522A	OL4462511A
D. J. Oldham	OL4462596A	OL4462522A
D. J. Oldham	OL4462597A	OL4462596A
D. J. Palmer	OL4408579A	OL2948726A
D. J. Parker	OL4358693A	OL4358652A
D. J. Racette	OL5383960A	OL5383957A
D. J. Rankin	OL6396503A	OL4826441A
D. J. Richards	OL5802784A	OL146872A
D. J. Rowe	OL5931323A	OL2031914A
D. J. Rowe	OL6265317A	OL5931323A
D. J. Sigmar	OL5335016A	OL5334928A
D. J. Simmons	OL6732716A	OL5884834A
D. J. Smith	OL2823018A	OL1710772A
D. J. Smith	OL4366710A	OL2823018A
D. J. Steele	OL4618550A	OL4618546A
D. J. Steinberg	OL7522670A	OL7488719A
D. J. Stevens	OL4634940A	OL3691250A
D. J. Storey	OL575317A	OL4327261A
D. J. Taylor	OL6164193A	OL4529350A
D. J. Taylor	OL82239A	OL6164193A
D. J. Thomas	OL4772654A	OL2780573A
D. J. Van Rest	OL4384111A	OL4384016A
D. J. Waddington	OL4354425A	OL2227971A
D. J. Watkins-Pitchford	OL7298302A	OL4783266A
D. J. West	OL838627A	OL6414001A
D. J. White	OL828464A	OL4438247A
D. J. Williams	OL4757384A	OL4415598A
D. J. Williams	OL4794879A	OL4757384A
D. J. Williams	OL4822741A	OL4794879A
D. J. Williams	OL5467112A	OL4822741A
D. J. Williams	OL5939381A	OL5467112A
D. J. Williams	OL6263358A	OL5939381A
D. J. Williams	OL6846479A	OL6263358A
D. J. Williams	OL752341A	OL6846479A
D. Jackson	OL6439277A	OL2162580A
D. Jacob Davies	OL5403476A	OL4912190A
D. Jakobs	OL7612282A	OL3318392A
D. James	OL4344563A	OL1062949A
D. James Brademas	OL5000291A	OL4434383A
D. James Kennedy	OL70253A	OL4776855A
D. Jane Snidal	OL4543037A	OL3361528A
D. Jenkins	OL5424247A	OL1569412A
D. Jesse Wagstaff	OL5879525A	OL3756491A
D. Joseph Fisher	OL4703761A	OL4703745A
D. Joseph Jacques	OL7348340A	OL7330714A
D. Jourdanet	OL5813795A	OL5118100A
D. K Schmidt	OL4745753A	OL4745492A
D. K. Adams	OL6147140A	OL2790129A
D. K. Barnes	OL7216316A	OL2775780A
D. K. Britton	OL6190654A	OL4402784A
D. K. C. Cooper	OL7587030A	OL2681825A
D. K. C. MacDonald	OL5408117A	OL2181571A
D. K. Chester	OL4455674A	OL4455673A
D. K. Edwards	OL6264788A	OL1706980A
D. K. Findlay	OL5862916A	OL1779688A
D. K. Flickinger	OL874618A	OL6980572A
D. K. Kunte	OL4689267A	OL1228015A
D. K. Ljungblad	OL4891767A	OL4891410A
D. K. Paul	OL5418679A	OL323429A
D. K. Ross	OL7432251A	OL2942790A
D. K. Roy	OL5001008A	OL330061A
D. K. Srivastava	OL7131248A	OL1446422A
D. K. Srivastava	OL7131263A	OL7131248A
D. K. Swan	OL972461A	OL4780417A
D. K. Thomas	OL7584524A	OL2079957A
D. K. Zelenin	OL80784A	OL5970258A
D. Kalma	OL5583683A	OL4614400A
D. Kamalavijayan	OL6422796A	OL374900A
D. Kathryn Weintraub	OL698736A	OL5610532A
D. Keenan	OL4761119A	OL4761078A
D. Keith Bowen	OL6518430A	OL264646A
D. Keith McE Kevan	OL930682A	OL6189726A
D. Kennington	OL870545A	OL6196451A
D. Kern Holoman	OL6307518A	OL394807A
D. Kh Martikhaeva	OL7004307A	OL7004306A
D. Kibblewhite	OL4463359A	OL4463358A
D. Kimm	OL664271A	OL5755890A
D. Kin	OL5756430A	OL1312037A
D. Kirk	OL6211921A	OL422272A
D. Kokorēs	OL6482189A	OL6396410A
D. Krishna Iyengar	OL4656863A	OL1752638A
D. Kuolie	OL7140381A	OL7140380A
D. Károly Balla	OL6749555A	OL4829938A
D. L Jassby	OL4731861A	OL4731843A
D. L Lager	OL4733125A	OL4732980A
D. L Lager	OL4733182A	OL4733125A
D. L.	OL6973685A	OL647190A
D. L. Bailey	OL844726A	OL5693800A
D. L. Book	OL5947091A	OL4723322A
D. L. Borchers	OL5417382A	OL3251733A
D. L. Bradley	OL4600663A	OL4377679A
D. L. Bradley	OL4600666A	OL4600663A
D. L. Brown	OL6806253A	OL1671873A
D. L. Carter	OL7223842A	OL4553870A
D. L. Craig	OL7047288A	OL6303441A
D. L. Douglass	OL4504658A	OL4446686A
D. L. Dressel	OL5320037A	OL5319368A
D. L. Goyvaerts	OL4375916A	OL1049599A
D. L. Harris	OL5409367A	OL3236325A
D. L. Hawksworth	OL4329013A	OL1231871A
D. L. Hicks	OL6140079A	OL4732472A
D. L. Johnson	OL5319966A	OL394305A
D. L. Judge	OL4872496A	OL4872352A
D. L. Kennedy	OL4461904A	OL1012125A
D. L. Kgathi	OL6341091A	OL526107A
D. L. Kirkpatrick	OL6972673A	OL2928271A
D. L. Linton	OL6199403A	OL4719607A
D. L. Lloyd Owen	OL6238621A	OL1089844A
D. L. Lowrie	OL6612555A	OL1121360A
D. L. Misell	OL4450014A	OL1074481A
D. L. Mordovt͡sev	OL6859155A	OL159714A
D. L. Murray	OL4426781A	OL2121084A
D. L. N. Rao	OL7006272A	OL7006271A
D. L. Olmsted	OL5899459A	OL1949434A
D. L. Paulson	OL4742143A	OL4742090A
D. L. Paulson	OL4742155A	OL4742143A
D. L. Paulson	OL4742218A	OL4742155A
D. L. Raby	OL6324103A	OL2821690A
D. L. Rigby	OL4937049A	OL4666103A
D. L. Roberts	OL4775636A	OL2287025A
D. L. Thompson	OL4863874A	OL4223411A
D. L. W. Tough	OL4614985A	OL2448496A
D. L. Wakeman	OL7003758A	OL147815A
D. L. Zlatopol'skiĭ	OL5206091A	OL5206088A
D. L. Zlatopol'skiĭ	OL5206092A	OL5206091A
D. L. Zlatopol'skiĭ	OL5206097A	OL5206092A
D. LIGHT	OL5124899A	OL5124894A
D. LIGHT	OL5124900A	OL5124899A
D. LaMont Johnson	OL6296870A	OL3543580A
D. Laan	OL5416000A	OL5415998A
D. Lange	OL7557683A	OL5196043A
D. Lea Jacobs	OL6386203A	OL2941718A
D. Lee	OL6393530A	OL2708377A
D. Lee Harris	OL6446379A	OL4722723A
D. Lewin	OL4774032A	OL4774020A
D. Lincoln Canfield	OL786321A	OL6105459A
D. Luther Evans	OL7623316A	OL2242298A
D. Luu	OL5325947A	OL5325946A
D. Lübbesmeyer	OL4862746A	OL4862744A
D. M Jarboe	OL4725321A	OL4725249A
D. M Jarboe	OL4725322A	OL4725321A
D. M Le Vine	OL4744963A	OL4744741A
D. M Roy	OL4731031A	OL4731029A
D. M Roy	OL4731059A	OL4731031A
D. M Sumner	OL4308559A	OL4308490A
D. M. A. Leggett	OL6367605A	OL1102795A
D. M. Abramov	OL6228936A	OL1542727A
D. M. Adams	OL5940072A	OL1825809A
D. M. Armstrong	OL456313A	OL4374481A
D. M. Armstrong	OL5776872A	OL456313A
D. M. B.	OL7388671A	OL7388670A
D. M. Bakker	OL987294A	OL5410316A
D. M. Balme	OL5070053A	OL2668267A
D. M. Barratt	OL5979066A	OL5859918A
D. M. Bills	OL4853029A	OL4853028A
D. M. Black	OL804611A	OL4824622A
D. M. Bose	OL6863661A	OL2063721A
D. M. Budyanskiĭ	OL5258056A	OL5258053A
D. M. Campbell	OL5079058A	OL3443213A
D. M. Capper	OL723160A	OL5255128A
D. M. Carlisle	OL4794802A	OL2017226A
D. M. Carroll	OL736259A	OL4353282A
D. M. Cooper	OL4344919A	OL3449685A
D. M. Cornish	OL7390604A	OL6169059A
D. M. Devine	OL4728526A	OL2630602A
D. M. Dewey	OL7233243A	OL4646114A
D. M. Dunn	OL7349182A	OL7333501A
D. M. Field	OL5929758A	OL1218469A
D. M. Filippov	OL4689258A	OL1144341A
D. M. Forsaith	OL4465515A	OL4465510A
D. M. Forsaith	OL4465693A	OL4465515A
D. M. Harrison	OL7414735A	OL584597A
D. M. Henderson	OL6805179A	OL1876438A
D. M. Hermalin	OL5705610A	OL5262283A
D. M. Joubert	OL751658A	OL6868707A
D. M. Lamberton	OL6258795A	OL142227A
D. M. Livingston	OL7170501A	OL5881322A
D. M. Lloyd-Jones	OL4860743A	OL2796043A
D. M. Lloyd-Jones	OL7300451A	OL4860743A
D. M. Lloyd-Jones	OL7351199A	OL7300451A
D. M. Loades	OL4803160A	OL355758A
D. M. Loveridge	OL6303218A	OL1377906A
D. M. Low	OL4919839A	OL144758A
D. M. MacKinnon	OL5907055A	OL4967503A
D. M. Maclise	OL6939812A	OL350232A
D. M. Mirāsadāra	OL4686989A	OL4639766A
D. M. Nuti	OL4443371A	OL4443369A
D. M. O. Miller	OL4865332A	OL3428928A
D. M. Oldenziel	OL4361622A	OL4361614A
D. M. Oldenziel	OL4361640A	OL4361622A
D. M. Robertson	OL4820226A	OL4556767A
D. M. Robinson	OL7442323A	OL2848861A
D. M. Rosenberg	OL6320132A	OL1654944A
D. M. Shaw	OL6507864A	OL3474118A
D. M. Sutherland	OL5667561A	OL4417763A
D. M. Tambieva	OL4375553A	OL4375551A
D. M. Thomas	OL7272700A	OL4401558A
D. M. Trotter	OL5647064A	OL4937201A
D. M. Warren	OL4447051A	OL4447050A
D. M. Y. Sommerville	OL4711367A	OL4343724A
D. M. Young	OL5264865A	OL147075A
D. Maam	OL7080518A	OL569741A
D. MacIver	OL847901A	OL5272327A
D. MacLaughlin	OL5042566A	OL5042565A
D. Macara	OL5078712A	OL5078711A
D. Macdonald	OL5476605A	OL306757A
D. Mackenzie Brown	OL6358242A	OL1708787A
D. Mackenzie Davey	OL6160348A	OL2062366A
D. Maclaren Robertson	OL6088451A	OL2388254A
D. Macmillan	OL5424956A	OL2532001A
D. Magner	OL5175376A	OL1654729A
D. Mandal	OL568283A	OL5469884A
D. Marinucci	OL5312481A	OL5312470A
D. Mark Smith	OL5234845A	OL3156114A
D. Marker	OL6518664A	OL457889A
D. Marquand	OL4623940A	OL4623939A
D. Mascolo	OL5626198A	OL5611105A
D. McCammon	OL4941320A	OL4668265A
D. McCloy	OL5251581A	OL1188923A
D. McCormack Smyth	OL5904481A	OL5493729A
D. McIntyre	OL4338997A	OL2204184A
D. McIntyre	OL5636586A	OL4338997A
D. McK Boyle	OL4443104A	OL4443087A
D. McK Boyle	OL4443169A	OL4443104A
D. McK Boyle	OL4443181A	OL4443169A
D. McK Boyle	OL4443214A	OL4443181A
D. McLean	OL4447862A	OL4447861A
D. McLean	OL4447863A	OL4447862A
D. McLean	OL6406522A	OL4447863A
D. Mercier	OL6162980A	OL5575832A
D. Miall Edwards	OL5437081A	OL2310688A
D. Mia͡gmar	OL569798A	OL1485972A
D. Michael Lindsay	OL6972437A	OL2665031A
D. Michael Ray	OL6102658A	OL1721676A
D. Michael Ryan	OL6783360A	OL3127058A
D. Michael Shafer	OL578278A	OL4809017A
D. Michael Stoddart	OL6262801A	OL1013204A
D. Michael Watts	OL4445674A	OL4445673A
D. Michael Watts	OL4445700A	OL4445674A
D. Michael Watts	OL4445701A	OL4445700A
D. Michael Watts	OL4445702A	OL4445701A
D. Michael Watts	OL4445703A	OL4445702A
D. Michalopoulos	OL6719824A	OL6719823A
D. Minar Driscoll	OL4935613A	OL4935612A
D. Moore	OL5840821A	OL2727374A
D. Mort	OL6157547A	OL3409420A
D. Mulder Bosgoed	OL6628406A	OL3861027A
D. N. Ahnstrom	OL6627374A	OL2074172A
D. N. Ashton	OL453614A	OL4393802A
D. N. Burghes	OL4399316A	OL4399315A
D. N. Dhar	OL83842A	OL5454662A
D. N. Fenner	OL4750024A	OL1071408A
D. N. Krishnayya	OL5728011A	OL2064017A
D. N. L. Levy	OL4803315A	OL3583660A
D. N. M. Starkie	OL6277381A	OL1454849A
D. N. Marshall	OL5823994A	OL10414A
D. N. Medvedev	OL960798A	OL5922686A
D. N. Ngugi	OL4764459A	OL4764392A
D. N. Perkins	OL6166181A	OL3314570A
D. N. Pis'mennaya	OL4396877A	OL4396863A
D. N. Pritt	OL4625561A	OL118316A
D. N. Robinson	OL6926611A	OL4668540A
D. N. Saksena	OL7133441A	OL6370154A
D. N. Saksena	OL996421A	OL7133441A
D. N. Shankara Bhat	OL4616074A	OL3026171A
D. N. Tripathi	OL938682A	OL5516454A
D. Naylor	OL5023695A	OL1314928A
D. Neal Boehnke	OL6490015A	OL2656566A
D. Nelson	OL6242507A	OL2504809A
D. Neville Wood	OL6360539A	OL1827877A
D. Nisard	OL6029735A	OL164770A
D. Noreen Chesney	OL4785526A	OL1717035A
D. O'Brien	OL4841932A	OL3187362A
D. O. Barto	OL6024338A	OL2523785A
D. O. Crowley	OL5636115A	OL2587350A
D. O. Fágúnwà	OL4754117A	OL4754116A
D. O. Fágúnwà	OL4754118A	OL4754117A
D. O. Kellogg	OL7282952A	OL4763050A
D. O. Nott	OL6245662A	OL3474224A
D. O. Robichaud	OL5546907A	OL1848586A
D. O. Shkli͡arskiĭ	OL712606A	OL6740293A
D. O. Zetterholm	OL5835209A	OL2322748A
D. O. Øvstedal	OL5370773A	OL2768096A
D. Otgonsu̇rėn	OL5179059A	OL4282247A
D. P O'Brien	OL5691279A	OL5407381A
D. P. Agrawal	OL5337702A	OL108494A
D. P. Agrawal	OL6504134A	OL5337702A
D. P. Brown	OL6202249A	OL4863259A
D. P. Chase	OL5067399A	OL2620365A
D. P. Chattopadhyaya	OL4452598A	OL375251A
D. P. Cobham	OL5132190A	OL5132189A
D. P. Conyngham	OL5549033A	OL3115034A
D. P. Costello	OL5714754A	OL2111780A
D. P. Craig	OL5491822A	OL221655A
D. P. Davies	OL6308271A	OL3336253A
D. P. Feduccia	OL4818856A	OL4818846A
D. P. Feduccia	OL4818862A	OL4818856A
D. P. Hajela	OL4391275A	OL4391264A
D. P. Hajela	OL4391287A	OL4391275A
D. P. Johnson	OL5810769A	OL2666246A
D. P. Kirby	OL886189A	OL5519000A
D. P. Livermore	OL5626925A	OL2852167A
D. P. M. Huet	OL6620582A	OL5987475A
D. P. M. Michael	OL6260234A	OL555888A
D. P. Mishra	OL5373542A	OL4790781A
D. P. Moran	OL5038269A	OL3864926A
D. P. Nelson	OL4411320A	OL4411319A
D. P. O'Riordan	OL4862037A	OL4862035A
D. P. O'Riordan	OL4862039A	OL4862037A
D. P. Ormrod	OL6315691A	OL1860819A
D. P. Papaditsas	OL930567A	OL4424738A
D. P. Penhallow	OL5159443A	OL358110A
D. P. Simpson	OL4373715A	OL1948454A
D. P. Thomson	OL936408A	OL5244900A
D. P. Whiting	OL917843A	OL4725913A
D. Papoušek	OL757156A	OL6385932A
D. Paul Emond	OL5237029A	OL1778715A
D. Paulus Cassell	OL6077356A	OL4277736A
D. Peel	OL4638918A	OL2936573A
D. Perkins	OL4344227A	OL4344211A
D. Peter MacLeod	OL6117345A	OL3013972A
D. Peterson	OL4730105A	OL2892572A
D. Peyrony	OL5299040A	OL4534917A
D. Philip Baker	OL6220428A	OL1348544A
D. Pierce	OL7591310A	OL2129977A
D. Pilling	OL4624716A	OL4624715A
D. Pilling	OL4624717A	OL4624716A
D. Porter West	OL4877824A	OL2356380A
D. Prasad	OL7043158A	OL4193956A
D. Price	OL4344378A	OL4344372A
D. Psathai	OL5360709A	OL5360684A
D. Pu̇rėvdorzh	OL4321284A	OL4282376A
D. Q. Bowen	OL4461520A	OL1863447A
D. R Bristow	OL4746850A	OL4746402A
D. R Goosman	OL4733479A	OL4733439A
D. R Steel	OL4780585A	OL4780571A
D. R Vondy	OL4731106A	OL4731088A
D. R Vondy	OL4731107A	OL4731106A
D. R Vondy	OL4731128A	OL4731107A
D. R Vondy	OL4731549A	OL4731128A
D. R Wortendyke	OL4302403A	OL4302146A
D. R.	OL547844A	OL1800279A
D. R. Addison	OL5144847A	OL5144845A
D. R. Addison	OL5144848A	OL5144847A
D. R. Ahuja	OL522207A	OL4431078A
D. R. Barton	OL7613461A	OL1594439A
D. R. Bassi	OL4370369A	OL4370233A
D. R. Bassi	OL4370450A	OL4370369A
D. R. Baxter	OL4442712A	OL1880364A
D. R. Bensen	OL606014A	OL5569018A
D. R. Bienz	OL840178A	OL5328954A
D. R. Blaskett	OL891715A	OL4458833A
D. R. Brooks	OL833544A	OL5810587A
D. R. Brown	OL5325238A	OL5325236A
D. R. Brown	OL5325239A	OL5325238A
D. R. Brown	OL5325244A	OL5325239A
D. R. Browning	OL4780082A	OL1270634A
D. R. C. Kempe	OL976227A	OL4777934A
D. R. Chaudhry	OL5288051A	OL5097736A
D. R. Derrett	OL785534A	OL4923514A
D. R. Dungan	OL6978521A	OL2507919A
D. R. Evans	OL689505A	OL5535360A
D. R. F. West	OL6388783A	OL1708928A
D. R. Forsyth	OL605545A	OL4818509A
D. R. Fraser Taylor	OL4411064A	OL2642714A
D. R. Gabe	OL4679948A	OL1806241A
D. R. Gadgil	OL5619082A	OL5404A
D. R. Gala Dhanlal	OL4417963A	OL4417910A
D. R. Goldhill	OL4945244A	OL4945243A
D. R. Goosman	OL5335560A	OL5335506A
D. R. Green	OL5600403A	OL3468532A
D. R. Green	OL7153940A	OL5600403A
D. R. Hall	OL5637784A	OL1689959A
D. R. Harvey	OL4462417A	OL4411462A
D. R. Harvey	OL554038A	OL4462417A
D. R. Harvey	OL6331652A	OL554038A
D. R. Hay	OL4615224A	OL2388013A
D. R. Hill	OL4944837A	OL3989978A
D. R. Howes	OL4443210A	OL4443156A
D. R. Illingworth	OL4719419A	OL4719343A
D. R. Johnson	OL4729637A	OL190737A
D. R. Lamb	OL6224763A	OL6180853A
D. R. Lane	OL6563637A	OL2642524A
D. R. Lefebvre	OL4664356A	OL4663630A
D. R. Lillicrap	OL558867A	OL4968367A
D. R. Lorimer	OL5331710A	OL2766710A
D. R. Lucas	OL5311922A	OL1099313A
D. R. Mace	OL951266A	OL6597977A
D. R. Mills	OL5318701A	OL4624198A
D. R. Moore	OL5587185A	OL3480836A
D. R. Mottram	OL6881180A	OL2947178A
D. R. Myddelton	OL5420449A	OL2794136A
D. R. Porter	OL6980352A	OL3577860A
D. R. Reddy	OL4870058A	OL4869954A
D. R. Scott	OL4664255A	OL1702190A
D. R. Skinner	OL4394045A	OL1707344A
D. R. Sloggett	OL6210524A	OL1005259A
D. R. Thomas	OL974364A	OL6265897A
D. R. Thorpe	OL5046511A	OL419148A
D. R. Urquhart	OL5104339A	OL5103681A
D. R. Ward	OL4731248A	OL2075604A
D. R. Webb	OL5061075A	OL2782803A
D. R. Wilson	OL4386909A	OL2144576A
D. R. Wilson	OL5480431A	OL4386909A
D. R. Wilson	OL6612518A	OL5480431A
D. Ralph Millard	OL4459757A	OL4459756A
D. Ralph Millard	OL4459758A	OL4459757A
D. Ralph Millard	OL526664A	OL4459758A
D. Rameswar Rao	OL4446800A	OL1955248A
D. Ransom, Son & Co	OL4591246A	OL4591202A
D. Rayner	OL5450283A	OL2668534A
D. Rees	OL6514112A	OL1077853A
D. Remenyi	OL5984441A	OL321732A
D. Riches	OL6596556A	OL5001431A
D. Rickwood	OL6324616A	OL498859A
D. Riley	OL5233774A	OL1573977A
D. Riley	OL6596326A	OL5233774A
D. Robert DeChaine	OL6515752A	OL1428718A
D. Robert Ladd	OL457415A	OL4411967A
D. Robert Worley	OL6519788A	OL1432930A
D. Robinson	OL3640122A	OL2760735A
D. Roger Willis	OL5499836A	OL5083622A
D. Ross Pugmire	OL4787217A	OL2010334A
D. Russo	OL5586393A	OL2682279A
D. S Chaussee	OL4746531A	OL4746530A
D. S. Allan	OL4819745A	OL390497A
D. S. Barrett	OL975474A	OL6334030A
D. S. Byrne	OL5881204A	OL227630A
D. S. Carne-Ross	OL6231860A	OL1238784A
D. S. Chandrasekharaiah	OL721234A	OL6206095A
D. S. Colburn	OL4653908A	OL4653866A
D. S. Davidson	OL4736079A	OL4407771A
D. S. Davies	OL7070651A	OL3155871A
D. S. Evans	OL4287372A	OL3609006A
D. S. Falconer	OL948958A	OL4333907A
D. S. Fanning	OL947518A	OL6319353A
D. S. Gray	OL6715663A	OL3626145A
D. S. Grewal	OL6783399A	OL376113A
D. S. Halacy	OL766135A	OL6224402A
D. S. Hansell	OL4423587A	OL1639847A
D. S. J. Parsons	OL5691429A	OL1756757A
D. S. Jones	OL539810A	OL4382253A
D. S. Kuznet͡sov	OL5068384A	OL2199598A
D. S. Lanham	OL4758046A	OL4758045A
D. S. M. Barrie	OL871143A	OL4369679A
D. S. MacColl	OL5256533A	OL123505A
D. S. Margoliouth	OL4335758A	OL1751871A
D. S. Merezhkovskii	OL5260712A	OL4437708A
D. S. Morris	OL767135A	OL4326736A
D. S. Parasnis	OL6429822A	OL1126746A
D. S. Parker	OL6318497A	OL388686A
D. S. Pasmanik	OL4385565A	OL1064301A
D. S. Piccoli	OL7624398A	OL4999835A
D. S. Pudikov	OL5294504A	OL5294502A
D. S. Richards	OL6948497A	OL1531186A
D. S. Robertson	OL4468832A	OL2642435A
D. S. Robinson	OL5783401A	OL108300A
D. S. Russell	OL578591A	OL4955001A
D. S. S.	OL7397234A	OL7397233A
D. S. Sarma	OL4845121A	OL10093A
D. S. Savage	OL5836447A	OL4386895A
D. S. Saʺdullaev	OL5152972A	OL5152971A
D. S. Thomas	OL7394515A	OL6214683A
D. S. Zagoria	OL4626287A	OL4626286A
D. Sam Abrams	OL7054965A	OL7054964A
D. Sannella	OL4687580A	OL2681159A
D. Savage	OL4727632A	OL4727631A
D. Schmieder	OL7089614A	OL7089613A
D. Schultheiss	OL7051187A	OL7051186A
D. Sebastião.* Pessanha	OL4555001A	OL4554998A
D. Sebastião.* Pessanha	OL4555110A	OL4555001A
D. Sebastião.* Pessanha	OL4555112A	OL4555110A
D. Sebastião.* Pessanha	OL4555113A	OL4555112A
D. Serot	OL5323932A	OL5323922A
D. Sheppard	OL4373012A	OL1993541A
D. Shostakovich	OL5865854A	OL4376247A
D. Silvan Evans	OL7389353A	OL5218281A
D. Simon Evans	OL6429267A	OL1055899A
D. Simon Evans	OL6925259A	OL6429267A
D. Smith	OL5923669A	OL5599062A
D. Smith	OL849790A	OL5923669A
D. Solomons	OL4723181A	OL4723180A
D. Spillan	OL7373916A	OL4364834A
D. Spillan	OL7380628A	OL7373916A
D. Stark Murray	OL4418801A	OL1718348A
D. Starke	OL6079930A	OL2406279A
D. Steele	OL4809526A	OL1810988A
D. Stevenson	OL4626662A	OL452789A
D. Strange	OL5472416A	OL2714778A
D. Stuart Briscoe	OL5779762A	OL227448A
D. Sunder Singh	OL4796873A	OL4796863A
D. Sverchkov	OL5267374A	OL5267188A
D. Sverchkov	OL674480A	OL5267374A
D. Swann	OL4726151A	OL4726150A
